replicate	uprime_x0.47	uprime_x0.5	uprime_x0.54	u_x0.47	u_x0.5	u_x0.54
1	0.814815	0.9375	0.25	0.913793	0.983871	0.23913
2	0.703704	1	0.15	0.75	1	0.162162
3	0.807692	1	0.33333	0.761905	0.965517	0.305556
4	0.576923	1	0.208333	0.517241	0.9375	0.210526
5	0.586207	0.965517	0.357143	0.482759	0.973684	0.2
6	0.636364	1	0.448276	0.761905	1	0.4375
7	0.821429	1	0.3	0.741935	1	0.0588235
8	0.681818	1	0.1875	0.56	1	0.26
9	0.769231	1	0.266667	0.795455	1	0.263158
10	0.736842	0.954545	0.0869565	0.966667	0.941176	0.1
11	0.636364	1	0.307692	0.59375	0.966667	0.108696
12	0.633333	0.928571	0.235294	0.888889	1	0.428571
13	0.652174	1	0.171429	0.8125	1	0.142857
14	0.633333	0.973684	0.318182	0.76087	0.987805	0.431818
15	0.576923	0.904762	0.25	0.759259	0.95	0.142857
16	0.692308	1	0.4375	0.525	1	0.403846
17	0.884615	1	0.3	0.96875	0.948718	0.166667
18	0.666667	0.931034	0.208333	0.666667	0.984848	0.296296
19	0.818182	0.894737	0.0740741	0.871429	0.859375	0.157895
20	0.666667	0.969697	0.315789	0.416667	0.989796	0.34
21	0.653846	0.956522	0.36	0.571429	0.946429	0.354167
22	0.709677	0.96875	0.3	0.783333	0.965517	0.25
23	0.652174	0.96	0.272727	0.75	0.909091	0.388889
24	0.551724	0.96	0.181818	0.6875	1	0.291667
25	0.777778	0.964286	0.25	0.875	0.965517	0.24
26	0.52	0.90625	0.225806	0.724138	0.944444	0.27027
27	0.857143	0.941176	0.205882	0.854167	0.928571	0.1
28	0.625	1	0.133333	0.71875	0.982759	0.27451
29	0.863636	1	0.269231	0.978261	1	0.315789
30	0.733333	0.965517	0.121212	0.777778	0.982759	0.140625
31	0.757576	0.965517	0.366667	0.810345	0.970588	0.365385
32	0.727273	0.96	0.208333	0.777778	1	0.235294
33	0.787879	1	0.375	0.837838	1	0.289474
34	0.791667	0.9	0.363636	0.852941	0.909091	0.37037
35	0.703704	0.935484	0.478261	0.596154	0.942857	0.235294
36	0.6	0.869565	0.291667	0.645161	0.86	0.159091
37	0.809524	0.965517	0.275862	0.8	1	0.258621
38	0.7	0.96875	0.352941	0.730769	0.777778	0.326923
39	0.714286	0.923077	0.310345	0.545455	0.955882	0.404762
40	0.633333	0.962963	0.5	0.804348	0.978723	0.590909