a,sigma,beta,k,u_hat,delta_correct
0,0.01,0,0.2,0.05,0
4.736842105263158e-5,0.01,0.004736842105263158,0.2,0.05,-9.238443359409036e-7
9.473684210526316e-5,0.01,0.009473684210526316,0.2,0.05,-1.8007827340386256e-6
1.4210526315789474e-4,0.01,0.014210526315789474,0.2,0.05,-2.6310293056147204e-6
1.8947368421052632e-4,0.01,0.018947368421052633,0.2,0.05,-3.4147991525322672e-6
2.368421052631579e-4,0.01,0.02368421052631579,0.2,0.05,-4.1523083345115655e-6
2.8421052631578947e-4,0.01,0.028421052631578948,0.2,0.05,-4.8437738368997045e-6
3.315789473684211e-4,0.01,0.03315789473684211,0.2,0.05,-5.48941353890821e-6
3.7894736842105265e-4,0.01,0.037894736842105266,0.2,0.05,-6.089446182287977e-6
4.263157894736842e-4,0.01,0.04263157894736842,0.2,0.05,-6.644091340464312e-6
4.736842105263158e-4,0.01,0.04736842105263158,0.2,0.05,-7.153569388098767e-6
5.210526315789474e-4,0.01,0.05210526315789474,0.2,0.05,-7.618101471100003e-6
5.684210526315789e-4,0.01,0.056842105263157895,0.2,0.05,-8.037909477056075e-6
6.157894736842105e-4,0.01,0.06157894736842105,0.2,0.05,-8.413216006097641e-6
6.631578947368422e-4,0.01,0.06631578947368422,0.2,0.05,-8.744244342177442e-6
7.105263157894737e-4,0.01,0.07105263157894737,0.2,0.05,-9.031218424770948e-6
7.578947368421053e-4,0.01,0.07578947368421053,0.2,0.05,-9.274362820986125e-6
8.052631578947369e-4,0.01,0.08052631578947368,0.2,0.05,-9.473902698079449e-6
8.526315789473684e-4,0.01,0.08526315789473685,0.2,0.05,-9.630063796369284e-6
9e-4,0.01,0.09,0.2,0.05,-9.743072402560934e-6
0.001,0.01,0.1,0.2,0.05,-9.840956773137389e-6
0.001205263,0.01,0.1205263,0.2,0.05,-9.451581151658645e-6
0.001410526,0.01,0.1410526,0.2,0.05,-8.283815591344449e-6
0.001615789,0.01,0.1615789,0.2,0.05,-6.3564036149033314e-6
0.001821053,0.01,0.1821053,0.2,0.05,-3.6881583958111794e-6
0.002026316,0.01,0.20263159999999997,0.2,0.05,-2.9798610579273924e-7
0.002231579,0.01,0.2231579,0.2,0.05,3.795222365758199e-6
0.002436842,0.01,0.2436842,0.2,0.05,8.57257104704915e-6
0.002642105,0.01,0.2642105,0.2,0.05,1.4015196307475084e-5
0.002847368,0.01,0.28473679999999996,0.2,0.05,2.0104291253118366e-5
0.003052632,0.01,0.3052632,0.2,0.05,2.6821162619167487e-5
0.003257895,0.01,0.32578949999999995,0.2,0.05,3.414711783909048e-5
0.003463158,0.01,0.3463158,0.2,0.05,4.206368100279339e-5
0.003668421,0.01,0.36684209999999995,0.2,0.05,5.0552482929685106e-5
0.003873684,0.01,0.3873684,0.2,0.05,5.9595308998489516e-5
0.004078947,0.01,0.4078947,0.2,0.05,6.917411444894248e-5
0.004284211,0.01,0.42842109999999994,0.2,0.05,7.927108885831622e-5
0.004489474,0.01,0.4489474,0.2,0.05,8.9868469714296e-5
0.004694737,0.01,0.4694737,0.2,0.05,1.0094884943903648e-4
0.005,0.01,0.5,0.2,0.05,1.1828365087744337e-4
0.005,0.01,0.5,0.2,0.05,1.1828365087744337e-4
0.005151515,0.01,0.5151515,0.2,0.05,1.2725293422758722e-4
0.005151515,0.01,0.5151515,0.2,0.05,1.2725293422758722e-4
0.00530303,0.01,0.530303,0.2,0.05,1.364555462667564e-4
0.00530303,0.01,0.530303,0.2,0.05,1.364555462667564e-4
0.005454545,0.01,0.5454545,0.2,0.05,1.458848504266655e-4
0.005454545,0.01,0.5454545,0.2,0.05,1.458848504266655e-4
0.005606061,0.01,0.5606061,0.2,0.05,1.5553434946926226e-4
0.005606061,0.01,0.5606061,0.2,0.05,1.5553434946926226e-4
0.005757576,0.01,0.5757576,0.2,0.05,1.6539743067495866e-4
0.005757576,0.01,0.5757576,0.2,0.05,1.6539743067495866e-4
0.005909091,0.01,0.5909091,0.2,0.05,1.7546774929518352e-4
0.005909091,0.01,0.5909091,0.2,0.05,1.7546774929518352e-4
0.006060606,0.01,0.6060606,0.2,0.05,1.8573897636233166e-4
0.006060606,0.01,0.6060606,0.2,0.05,1.8573897636233166e-4
0.006212121,0.01,0.6212121,0.2,0.05,1.9620486269704505e-4
0.006212121,0.01,0.6212121,0.2,0.05,1.9620486269704505e-4
0.006363636,0.01,0.6363635999999999,0.2,0.05,2.0685923984084965e-4
0.006363636,0.01,0.6363635999999999,0.2,0.05,2.0685923984084965e-4
0.006515152,0.01,0.6515152,0.2,0.05,2.1769609299745335e-4
0.006515152,0.01,0.6515152,0.2,0.05,2.1769609299745335e-4
0.006666667,0.01,0.6666667000000001,0.2,0.05,2.2870927446283322e-4
0.006666667,0.01,0.6666667000000001,0.2,0.05,2.2870927446283322e-4
0.006818182,0.01,0.6818181999999999,0.2,0.05,2.3989293345935345e-4
0.006818182,0.01,0.6818181999999999,0.2,0.05,2.3989293345935345e-4
0.006969697,0.01,0.6969697,0.2,0.05,2.51241231749807e-4
0.006969697,0.01,0.6969697,0.2,0.05,2.51241231749807e-4
0.007121212,0.01,0.7121212,0.2,0.05,2.627484150275333e-4
0.007272727,0.01,0.7272727,0.2,0.05,2.7440881329743056e-4
0.007272727,0.01,0.7272727,0.2,0.05,2.7440881329743056e-4
0.007424242,0.01,0.7424242,0.2,0.05,2.862168411792614e-4
0.007424242,0.01,0.7424242,0.2,0.05,2.862168411792614e-4
0.007575758,0.01,0.7575758,0.2,0.05,2.9816707746503114e-4
0.007575758,0.01,0.7575758,0.2,0.05,2.9816707746503114e-4
0.007727273,0.01,0.7727273,0.2,0.05,3.102539488494885e-4
0.007727273,0.01,0.7727273,0.2,0.05,3.102539488494885e-4
0.007878788,0.01,0.7878787999999999,0.2,0.05,3.2247220330196107e-4
0.007878788,0.01,0.7878787999999999,0.2,0.05,3.2247220330196107e-4
0.008030303,0.01,0.8030303000000001,0.2,0.05,3.3481659550544697e-4
0.008181818,0.01,0.8181818000000001,0.2,0.05,3.4728196523155924e-4
0.008181818,0.01,0.8181818000000001,0.2,0.05,3.4728196523155924e-4
0.008333333,0.01,0.8333332999999999,0.2,0.05,3.598632372497513e-4
0.008333333,0.01,0.8333332999999999,0.2,0.05,3.598632372497513e-4
0.008484848,0.01,0.8484847999999999,0.2,0.05,3.725554211816591e-4
0.008484848,0.01,0.8484847999999999,0.2,0.05,3.725554211816591e-4
0.008636364,0.01,0.8636364000000001,0.2,0.05,3.853536961108406e-4
0.008636364,0.01,0.8636364000000001,0.2,0.05,3.853536961108406e-4
0.008787879,0.01,0.8787879,0.2,0.05,3.9825307175881883e-4
0.008787879,0.01,0.8787879,0.2,0.05,3.9825307175881883e-4
0.008939394,0.01,0.8939393999999999,0.2,0.05,4.1124889504813925e-4
0.008939394,0.01,0.8939393999999999,0.2,0.05,4.1124889504813925e-4
0.009090909,0.01,0.9090908999999999,0.2,0.05,4.243365125543193e-4
0.009090909,0.01,0.9090908999999999,0.2,0.05,4.243365125543193e-4
0.009242424,0.01,0.9242424,0.2,0.05,4.375113542500579e-4
0.009242424,0.01,0.9242424,0.2,0.05,4.375113542500579e-4
0.009393939,0.01,0.9393939,0.2,0.05,4.5076893308644214e-4
0.009393939,0.01,0.9393939,0.2,0.05,4.5076893308644214e-4
0.009545455,0.01,0.9545454999999999,0.2,0.05,4.641049328028817e-4
0.009545455,0.01,0.9545454999999999,0.2,0.05,4.641049328028817e-4
0.00969697,0.01,0.9696969999999999,0.2,0.05,4.7751485484616267e-4
0.00969697,0.01,0.9696969999999999,0.2,0.05,4.7751485484616267e-4
0.009848485,0.01,0.9848485,0.2,0.05,4.909945459917152e-4
0.009848485,0.01,0.9848485,0.2,0.05,4.909945459917152e-4
0.01,0.01,1,0.2,0.05,5.045398462033054e-4
0.01,0.01,1,0.2,0.05,5.045398462033054e-4
0.010151515,0.01,1.0151515,0.2,0.05,5.181466758121013e-4
0.010151515,0.01,1.0151515,0.2,0.05,5.181466758121013e-4
0.01030303,0.01,1.030303,0.2,0.05,5.318110349049245e-4
0.01030303,0.01,1.030303,0.2,0.05,5.318110349049245e-4
0.010454545,0.01,1.0454545,0.2,0.05,5.455290026870011e-4
0.010454545,0.01,1.0454545,0.2,0.05,5.455290026870011e-4
0.010606061,0.01,1.0606061,0.2,0.05,5.592968278438082e-4
0.010606061,0.01,1.0606061,0.2,0.05,5.592968278438082e-4
0.010757576,0.01,1.0757576,0.2,0.05,5.731105640567353e-4
0.010757576,0.01,1.0757576,0.2,0.05,5.731105640567353e-4
0.010909091,0.01,1.0909091,0.2,0.05,5.869666145389887e-4
0.010909091,0.01,1.0909091,0.2,0.05,5.869666145389887e-4
0.011060606,0.01,1.1060606,0.2,0.05,6.0086136814262e-4
0.011060606,0.01,1.1060606,0.2,0.05,6.0086136814262e-4
0.011212121,0.01,1.1212121,0.2,0.05,6.147912893242815e-4
0.011212121,0.01,1.1212121,0.2,0.05,6.147912893242815e-4
0.011363636,0.01,1.1363636,0.2,0.05,6.287529173873846e-4
0.011363636,0.01,1.1363636,0.2,0.05,6.287529173873846e-4
0.011515152,0.01,1.1515152,0.2,0.05,6.427429581289459e-4
0.011515152,0.01,1.1515152,0.2,0.05,6.427429581289459e-4
0.011666667,0.01,1.1666667,0.2,0.05,6.567579135274022e-4
0.011666667,0.01,1.1666667,0.2,0.05,6.567579135274022e-4
0.011818182,0.01,1.1818182,0.2,0.05,6.707946349782355e-4
0.011818182,0.01,1.1818182,0.2,0.05,6.707946349782355e-4
0.011969697,0.01,1.1969697,0.2,0.05,6.848499533087925e-4
0.011969697,0.01,1.1969697,0.2,0.05,6.848499533087925e-4
0.012121212,0.01,1.2121212,0.2,0.05,6.989207702004872e-4
0.012121212,0.01,1.2121212,0.2,0.05,6.989207702004872e-4
0.012272727,0.01,1.2272727,0.2,0.05,7.130040573576531e-4
0.012272727,0.01,1.2272727,0.2,0.05,7.130040573576531e-4
0.012424242,0.01,1.2424242,0.2,0.05,7.270968556679237e-4
0.012424242,0.01,1.2424242,0.2,0.05,7.270968556679237e-4
0.012575758,0.01,1.2575758,0.2,0.05,7.41196367426979e-4
0.012575758,0.01,1.2575758,0.2,0.05,7.41196367426979e-4
0.012727273,0.01,1.2727273000000001,0.2,0.05,7.552995832134472e-4
0.012878788,0.01,1.2878788,0.2,0.05,7.694038393950223e-4
0.012878788,0.01,1.2878788,0.2,0.05,7.694038393950223e-4
0.013030303,0.01,1.3030303,0.2,0.05,7.835064450609913e-4
0.013030303,0.01,1.3030303,0.2,0.05,7.835064450609913e-4
0.013181818,0.01,1.3181817999999998,0.2,0.05,7.97604774191614e-4
0.013181818,0.01,1.3181817999999998,0.2,0.05,7.97604774191614e-4
0.013333333,0.01,1.3333332999999998,0.2,0.05,8.1169626478674e-4
0.013333333,0.01,1.3333332999999998,0.2,0.05,8.1169626478674e-4
0.013484848,0.01,1.3484848,0.2,0.05,8.257784179916839e-4
0.013484848,0.01,1.3484848,0.2,0.05,8.257784179916839e-4
0.013636364,0.01,1.3636363999999999,0.2,0.05,8.398488900420078e-4
0.013636364,0.01,1.3636363999999999,0.2,0.05,8.398488900420078e-4
0.013787879,0.01,1.3787878999999998,0.2,0.05,8.539051200034328e-4
0.013787879,0.01,1.3787878999999998,0.2,0.05,8.539051200034328e-4
0.013939394,0.01,1.3939394,0.2,0.05,8.679448861053339e-4
0.013939394,0.01,1.3939394,0.2,0.05,8.679448861053339e-4
0.014090909,0.01,1.4090909,0.2,0.05,8.819659333085556e-4
0.014090909,0.01,1.4090909,0.2,0.05,8.819659333085556e-4
0.014242424,0.01,1.4242424,0.2,0.05,8.959660653345934e-4
0.014242424,0.01,1.4242424,0.2,0.05,8.959660653345934e-4
0.014393939,0.01,1.4393939,0.2,0.05,9.099431437897525e-4
0.014393939,0.01,1.4393939,0.2,0.05,9.099431437897525e-4
0.014545455,0.01,1.4545455,0.2,0.05,9.238951792865952e-4
0.014545455,0.01,1.4545455,0.2,0.05,9.238951792865952e-4
0.01469697,0.01,1.469697,0.2,0.05,9.37819962404187e-4
0.01469697,0.01,1.469697,0.2,0.05,9.37819962404187e-4
0.014848485,0.01,1.4848485,0.2,0.05,9.517156153362339e-4
0.014848485,0.01,1.4848485,0.2,0.05,9.517156153362339e-4
0.015,0.01,1.5,0.2,0.05,9.65580222511489e-4
0.015,0.01,1.5,0.2,0.05,9.65580222511489e-4
0.015151515,0.01,1.5151515,0.2,0.05,9.79411921898963e-4
0.015151515,0.01,1.5151515,0.2,0.05,9.79411921898963e-4
0.01530303,0.01,1.530303,0.2,0.05,9.932089041489785e-4
0.01530303,0.01,1.530303,0.2,0.05,9.932089041489785e-4
0.015454545,0.01,1.5454545,0.2,0.05,0.0010069694117384627
0.015454545,0.01,1.5454545,0.2,0.05,0.0010069694117384627
0.015606061,0.01,1.5606061,0.2,0.05,0.0010206918285585228
0.015606061,0.01,1.5606061,0.2,0.05,0.0010206918285585228
0.015757576,0.01,1.5757575999999998,0.2,0.05,0.0010343743170498597
0.015757576,0.01,1.5757575999999998,0.2,0.05,0.0010343743170498597
0.015909091,0.01,1.5909091,0.2,0.05,0.001048015360783798
0.015909091,0.01,1.5909091,0.2,0.05,0.001048015360783798
0.016060606,0.01,1.6060606000000002,0.2,0.05,0.0010616134010930402
0.016060606,0.01,1.6060606000000002,0.2,0.05,0.0010616134010930402
0.016212121,0.01,1.6212121,0.2,0.05,0.0010751669269381849
0.016212121,0.01,1.6212121,0.2,0.05,0.0010751669269381849
0.016363636,0.01,1.6363636000000001,0.2,0.05,0.0010886744740852827
0.016363636,0.01,1.6363636000000001,0.2,0.05,0.0010886744740852827
0.016515152,0.01,1.6515152000000002,0.2,0.05,0.0011021347129668013
0.016515152,0.01,1.6515152000000002,0.2,0.05,0.0011021347129668013
0.016666667,0.01,1.6666667,0.2,0.05,0.0011155460928351686
0.016666667,0.01,1.6666667,0.2,0.05,0.0011155460928351686
0.016818182,0.01,1.6818182000000002,0.2,0.05,0.001128907373995694
0.016818182,0.01,1.6818182000000002,0.2,0.05,0.001128907373995694
0.016969697,0.01,1.6969697,0.2,0.05,0.0011422172713383832
0.016969697,0.01,1.6969697,0.2,0.05,0.0011422172713383832
0.017121212,0.01,1.7121212,0.2,0.05,0.0011554745425439404
0.017121212,0.01,1.7121212,0.2,0.05,0.0011554745425439404
0.017272727,0.01,1.7272727,0.2,0.05,0.0011686779873020109
0.017272727,0.01,1.7272727,0.2,0.05,0.0011686779873020109
0.017424242,0.01,1.7424241999999999,0.2,0.05,0.001181826446536638
0.017424242,0.01,1.7424241999999999,0.2,0.05,0.001181826446536638
0.017575758,0.01,1.7575758,0.2,0.05,0.0011949188878617768
0.017575758,0.01,1.7575758,0.2,0.05,0.0011949188878617768
0.017727273,0.01,1.7727273000000001,0.2,0.05,0.0012079540595527835
0.017727273,0.01,1.7727273000000001,0.2,0.05,0.0012079540595527835
0.017878788,0.01,1.7878787999999999,0.2,0.05,0.0012209310082637037
0.017878788,0.01,1.7878787999999999,0.2,0.05,0.0012209310082637037
0.018030303,0.01,1.8030303,0.2,0.05,0.0012338487322666597
0.018030303,0.01,1.8030303,0.2,0.05,0.0012338487322666597
0.018181818,0.01,1.8181817999999998,0.2,0.05,0.0012467062673125681
0.018181818,0.01,1.8181817999999998,0.2,0.05,0.0012467062673125681
0.018333333,0.01,1.8333333,0.2,0.05,0.0012595026859039474
0.018333333,0.01,1.8333333,0.2,0.05,0.0012595026859039474
0.018484848,0.01,1.8484848,0.2,0.05,0.0012722370965761141
0.018484848,0.01,1.8484848,0.2,0.05,0.0012722370965761141
0.018636364,0.01,1.8636363999999999,0.2,0.05,0.0012849087266094891
0.018636364,0.01,1.8636363999999999,0.2,0.05,0.0012849087266094891
0.018787879,0.01,1.8787879,0.2,0.05,0.0012975165872122704
0.018787879,0.01,1.8787879,0.2,0.05,0.0012975165872122704
0.018939394,0.01,1.8939393999999998,0.2,0.05,0.0013100599746285052
0.018939394,0.01,1.8939393999999998,0.2,0.05,0.0013100599746285052
0.019090909,0.01,1.9090909,0.2,0.05,0.0013225381345020638
0.019090909,0.01,1.9090909,0.2,0.05,0.0013225381345020638
0.019242424,0.01,1.9242424,0.2,0.05,0.0013349503450403588
0.019242424,0.01,1.9242424,0.2,0.05,0.0013349503450403588
0.019393939,0.01,1.9393938999999998,0.2,0.05,0.0013472959163460183
0.019393939,0.01,1.9393938999999998,0.2,0.05,0.0013472959163460183
0.019545455,0.01,1.9545455,0.2,0.05,0.0013595742705701554
0.019545455,0.01,1.9545455,0.2,0.05,0.0013595742705701554
0.01969697,0.01,1.969697,0.2,0.05,0.0013717846175578877
0.01969697,0.01,1.969697,0.2,0.05,0.0013717846175578877
0.019848485,0.01,1.9848484999999998,0.2,0.05,0.0013839264404321462
0.019848485,0.01,1.9848484999999998,0.2,0.05,0.0013839264404321462
0.02,0.01,2,0.2,0.05,0.001395999170363444
0.02,0.01,2,0.2,0.05,0.001395999170363444
