a,change
0.004572865,22
0.004572865,61
0.004572865,62
0.004572865,-21
0.004572865,29
0.004572865,45
0.004572865,26
0.004572865,28
0.004572865,21
0.004572865,9
0.004572865,6
0.004572865,-20
0.004572865,31
0.004572865,3
0.004572865,80
0.004572865,19
0.004572865,75
0.004572865,-8
0.004572865,50
0.004572865,-8
0.004572865,45
0.004572865,52
0.004572865,38
0.004572865,18
0.004572865,64
0.004572865,-21
0.004572865,14
0.004572865,4
0.004572865,18
0.004572865,39
0.004572865,5
0.004572865,28
0.004572865,34
0.004572865,83
0.004572865,20
0.004572865,-28
0.004572865,48
0.004572865,13
0.004572865,1
0.004572865,42
0.004572865,43
0.004572865,-5
0.004572865,23
0.004572865,15
0.004572865,31
0.004572865,24
0.004572865,6
0.004572865,53
0.004572865,58
0.004572865,42
0.004572865,57
0.004572865,55
0.004572865,32
0.004572865,73
0.004572865,-21
0.004572865,47
0.004572865,26
0.004572865,77
0.004572865,-10
0.004572865,14
0.004572865,82
0.004572865,-3
0.004572865,56
0.004572865,33
0.004572865,3
0.004572865,22
0.004572865,-23
0.004572865,82
0.004572865,57
0.004572865,-3
0.004572865,-43
0.004572865,-34
0.004572865,59
0.004572865,42
0.004572865,-21
0.004572865,106
0.004572865,41
0.004572865,30
0.004572865,-14
0.004572865,-9
0.004572865,74
0.004572865,19
0.004572865,16
0.004572865,11
0.004572865,0
0.004572865,2
0.004572865,-18
0.004572865,-25
0.004572865,-7
0.004572865,14
0.004572865,41
0.004572865,-3
0.004572865,23
0.004572865,35
0.004572865,54
0.004572865,17
0.004572865,42
0.004572865,42
0.004572865,22
0.004572865,8
0.005025126,48
0.005025126,25
0.005025126,-19
0.005025126,55
0.005025126,24
0.005025126,34
0.005025126,63
0.005025126,19
0.005025126,-29
0.005025126,4
0.005025126,57
0.005025126,30
0.005025126,16
0.005025126,-39
0.005025126,37
0.005025126,10
0.005025126,1
0.005025126,54
0.005025126,48
0.005025126,5
0.005025126,-9
0.005025126,-33
0.005025126,88
0.005025126,69
0.005025126,28
0.005025126,12
0.005025126,-24
0.005025126,15
0.005025126,45
0.005025126,-14
0.005025126,-22
0.005025126,22
0.005025126,30
0.005025126,55
0.005025126,47
0.005025126,34
0.005025126,47
0.005025126,104
0.005025126,23
0.005025126,47
0.005025126,40
0.005025126,-20
0.005025126,59
0.005025126,11
0.005025126,48
0.005025126,30
0.005025126,-34
0.005025126,35
0.005025126,20
0.005025126,39
0.005025126,9
0.005025126,51
0.005025126,-13
0.005025126,53
0.005025126,66
0.005025126,33
0.005025126,-6
0.005025126,-13
0.005025126,41
0.005025126,50
0.005025126,25
0.005025126,49
0.005025126,52
0.005025126,23
0.005025126,8
0.005025126,11
0.005025126,-32
0.005025126,32
0.005025126,17
0.005025126,54
0.005025126,40
0.005025126,29
0.005025126,2
0.005025126,10
0.005025126,36
0.005025126,30
0.005025126,95
0.005025126,-26
0.005025126,1
0.005025126,3
0.005025126,30
0.005025126,2
0.005025126,32
0.005025126,35
0.005025126,11
0.005025126,-19
0.005025126,37
0.005025126,14
0.005025126,9
0.005025126,-11
0.005025126,30
0.005025126,36
0.005025126,14
0.005025126,5
0.005025126,48
0.005025126,24
0.005025126,21
0.005025126,78
0.005025126,7
0.005025126,26
0.005477387,28
0.005477387,-2
0.005477387,78
0.005477387,63
0.005477387,13
0.005477387,13
0.005477387,10
0.005477387,7
0.005477387,8
0.005477387,23
0.005477387,11
0.005477387,46
0.005477387,38
0.005477387,41
0.005477387,29
0.005477387,41
0.005477387,80
0.005477387,26
0.005477387,46
0.005477387,-4
0.005477387,-36
0.005477387,-27
0.005477387,-4
0.005477387,-25
0.005477387,-23
0.005477387,9
0.005477387,16
0.005477387,21
0.005477387,31
0.005477387,31
0.005477387,2
0.005477387,78
0.005477387,51
0.005477387,62
0.005477387,19
0.005477387,30
0.005477387,29
0.005477387,-9
0.005477387,18
0.005477387,-45
0.005477387,24
0.005477387,9
0.005477387,50
0.005477387,79
0.005477387,18
0.005477387,2
0.005477387,58
0.005477387,31
0.005477387,57
0.005477387,26
0.005477387,88
0.005477387,22
0.005477387,39
0.005477387,4
0.005477387,39
0.005477387,30
0.005477387,-46
0.005477387,-7
0.005477387,23
0.005477387,21
0.005477387,59
0.005477387,-50
0.005477387,22
0.005477387,43
0.005477387,15
0.005477387,-1
0.005477387,1
0.005477387,49
0.005477387,55
0.005477387,-21
0.005477387,45
0.005477387,19
0.005477387,25
0.005477387,-12
0.005477387,98
0.005477387,59
0.005477387,85
0.005477387,95
0.005477387,26
0.005477387,-55
0.005477387,68
0.005477387,20
0.005477387,1
0.005477387,32
0.005477387,100
0.005477387,5
0.005477387,51
0.005477387,-40
0.005477387,45
0.005477387,20
0.005477387,56
0.005477387,113
0.005477387,16
0.005477387,-8
0.005477387,52
0.005477387,38
0.005477387,34
0.005477387,37
0.005477387,21
0.005477387,52
0.005929649,-32
0.005929649,13
0.005929649,14
0.005929649,84
0.005929649,68
0.005929649,24
0.005929649,0
0.005929649,-17
0.005929649,54
0.005929649,-32
0.005929649,22
0.005929649,69
0.005929649,30
0.005929649,71
0.005929649,35
0.005929649,25
0.005929649,22
0.005929649,89
0.005929649,-11
0.005929649,-37
0.005929649,9
0.005929649,15
0.005929649,34
0.005929649,59
0.005929649,26
0.005929649,9
0.005929649,93
0.005929649,37
0.005929649,41
0.005929649,-9
0.005929649,8
0.005929649,-22
0.005929649,49
0.005929649,-6
0.005929649,53
0.005929649,50
0.005929649,66
0.005929649,0
0.005929649,5
0.005929649,54
0.005929649,10
0.005929649,-5
0.005929649,49
0.005929649,42
0.005929649,-13
0.005929649,35
0.005929649,17
0.005929649,17
0.005929649,7
0.005929649,71
0.005929649,75
0.005929649,19
0.005929649,35
0.005929649,-27
0.005929649,-22
0.005929649,-19
0.005929649,-17
0.005929649,22
0.005929649,55
0.005929649,29
0.005929649,42
0.005929649,53
0.005929649,42
0.005929649,54
0.005929649,-37
0.005929649,2
0.005929649,37
0.005929649,52
0.005929649,74
0.005929649,9
0.005929649,77
0.005929649,34
0.005929649,-11
0.005929649,62
0.005929649,29
0.005929649,-11
0.005929649,-31
0.005929649,6
0.005929649,8
0.005929649,75
0.005929649,74
0.005929649,42
0.005929649,29
0.005929649,29
0.005929649,1
0.005929649,14
0.005929649,-69
0.005929649,2
0.005929649,47
0.005929649,5
0.005929649,6
0.005929649,17
0.005929649,-1
0.005929649,93
0.005929649,20
0.005929649,-21
0.005929649,46
0.005929649,27
0.005929649,26
0.005929649,7
0.00638191,16
0.00638191,70
0.00638191,53
0.00638191,49
0.00638191,34
0.00638191,72
0.00638191,41
0.00638191,-30
0.00638191,19
0.00638191,27
0.00638191,25
0.00638191,2
0.00638191,21
0.00638191,-25
0.00638191,92
0.00638191,-14
0.00638191,47
0.00638191,-19
0.00638191,29
0.00638191,82
0.00638191,8
0.00638191,129
0.00638191,27
0.00638191,60
0.00638191,30
0.00638191,12
0.00638191,31
0.00638191,29
0.00638191,-13
0.00638191,78
0.00638191,35
0.00638191,-7
0.00638191,0
0.00638191,14
0.00638191,19
0.00638191,17
0.00638191,30
0.00638191,18
0.00638191,11
0.00638191,113
0.00638191,62
0.00638191,19
0.00638191,-9
0.00638191,-14
0.00638191,31
0.00638191,38
0.00638191,56
0.00638191,46
0.00638191,-6
0.00638191,87
0.00638191,59
0.00638191,11
0.00638191,-6
0.00638191,54
0.00638191,40
0.00638191,-42
0.00638191,68
0.00638191,34
0.00638191,-20
0.00638191,28
0.00638191,31
0.00638191,74
0.00638191,33
0.00638191,-11
0.00638191,18
0.00638191,-46
0.00638191,35
0.00638191,17
0.00638191,73
0.00638191,80
0.00638191,32
0.00638191,32
0.00638191,118
0.00638191,13
0.00638191,21
0.00638191,89
0.00638191,-7
0.00638191,14
0.00638191,18
0.00638191,20
0.00638191,30
0.00638191,32
0.00638191,77
0.00638191,9
0.00638191,-46
0.00638191,-6
0.00638191,51
0.00638191,14
0.00638191,-5
0.00638191,64
0.00638191,-15
0.00638191,13
0.00638191,23
0.00638191,71
0.00638191,60
0.00638191,90
0.00638191,68
0.00638191,-3
0.00638191,53
0.00638191,37
0.006834171,18
0.006834171,52
0.006834171,40
0.006834171,39
0.006834171,3
0.006834171,89
0.006834171,42
0.006834171,33
0.006834171,47
0.006834171,-17
0.006834171,33
0.006834171,41
0.006834171,31
0.006834171,36
0.006834171,32
0.006834171,11
0.006834171,24
0.006834171,4
0.006834171,36
0.006834171,17
0.006834171,30
0.006834171,110
0.006834171,12
0.006834171,-4
0.006834171,10
0.006834171,2
0.006834171,-26
0.006834171,7
0.006834171,-22
0.006834171,70
0.006834171,15
0.006834171,15
0.006834171,50
0.006834171,10
0.006834171,-9
0.006834171,45
0.006834171,31
0.006834171,22
0.006834171,-25
0.006834171,43
0.006834171,13
0.006834171,105
0.006834171,-5
0.006834171,-3
0.006834171,16
0.006834171,70
0.006834171,41
0.006834171,61
0.006834171,71
0.006834171,-21
0.006834171,45
0.006834171,69
0.006834171,14
0.006834171,0
0.006834171,33
0.006834171,58
0.006834171,-11
0.006834171,-25
0.006834171,66
0.006834171,45
0.006834171,79
0.006834171,-13
0.006834171,90
0.006834171,47
0.006834171,82
0.006834171,45
0.006834171,53
0.006834171,28
0.006834171,24
0.006834171,4
0.006834171,34
0.006834171,16
0.006834171,1
0.006834171,62
0.006834171,47
0.006834171,22
0.006834171,44
0.006834171,62
0.006834171,14
0.006834171,8
0.006834171,16
0.006834171,-33
0.006834171,31
0.006834171,76
0.006834171,125
0.006834171,91
0.006834171,44
0.006834171,100
0.006834171,87
0.006834171,-4
0.006834171,30
0.006834171,14
0.006834171,19
0.006834171,-4
0.006834171,62
0.006834171,49
0.006834171,77
0.006834171,10
0.006834171,60
0.006834171,53
0.007286432,53
0.007286432,67
0.007286432,83
0.007286432,5
0.007286432,-5
0.007286432,49
0.007286432,105
0.007286432,57
0.007286432,28
0.007286432,-18
0.007286432,3
0.007286432,29
0.007286432,40
0.007286432,87
0.007286432,37
0.007286432,50
0.007286432,17
0.007286432,34
0.007286432,59
0.007286432,-34
0.007286432,3
0.007286432,2
0.007286432,17
0.007286432,62
0.007286432,27
0.007286432,65
0.007286432,36
0.007286432,36
0.007286432,98
0.007286432,31
0.007286432,-35
0.007286432,88
0.007286432,-7
0.007286432,93
0.007286432,34
0.007286432,70
0.007286432,52
0.007286432,2
0.007286432,21
0.007286432,12
0.007286432,25
0.007286432,41
0.007286432,84
0.007286432,26
0.007286432,62
0.007286432,-7
0.007286432,37
0.007286432,-11
0.007286432,17
0.007286432,32
0.007286432,27
0.007286432,66
0.007286432,34
0.007286432,32
0.007286432,-23
0.007286432,64
0.007286432,27
0.007286432,9
0.007286432,52
0.007286432,52
0.007286432,33
0.007286432,59
0.007286432,18
0.007286432,101
0.007286432,85
0.007286432,43
0.007286432,114
0.007286432,58
0.007286432,39
0.007286432,35
0.007286432,49
0.007286432,122
0.007286432,11
0.007286432,28
0.007286432,68
0.007286432,42
0.007286432,5
0.007286432,65
0.007286432,-14
0.007286432,36
0.007286432,146
0.007286432,-10
0.007286432,86
0.007286432,49
0.007286432,-3
0.007286432,-9
0.007286432,94
0.007286432,37
0.007286432,48
0.007286432,1
0.007286432,44
0.007286432,16
0.007286432,-35
0.007286432,50
0.007286432,52
0.007286432,74
0.007286432,-24
0.007286432,70
0.007286432,-9
0.007286432,4
0.007738694,25
0.007738694,16
0.007738694,58
0.007738694,-23
0.007738694,58
0.007738694,52
0.007738694,11
0.007738694,-20
0.007738694,13
0.007738694,76
0.007738694,0
0.007738694,-9
0.007738694,2
0.007738694,31
0.007738694,49
0.007738694,-2
0.007738694,-16
0.007738694,13
0.007738694,-7
0.007738694,40
0.007738694,73
0.007738694,180
0.007738694,16
0.007738694,101
0.007738694,59
0.007738694,2
0.007738694,-47
0.007738694,12
0.007738694,37
0.007738694,71
0.007738694,-28
0.007738694,48
0.007738694,63
0.007738694,-41
0.007738694,38
0.007738694,-35
0.007738694,34
0.007738694,-24
0.007738694,10
0.007738694,43
0.007738694,-33
0.007738694,-5
0.007738694,-4
0.007738694,21
0.007738694,22
0.007738694,55
0.007738694,3
0.007738694,49
0.007738694,-19
0.007738694,-2
0.007738694,30
0.007738694,76
0.007738694,20
0.007738694,-17
0.007738694,2
0.007738694,43
0.007738694,28
0.007738694,60
0.007738694,16
0.007738694,37
0.007738694,-11
0.007738694,62
0.007738694,107
0.007738694,36
0.007738694,130
0.007738694,81
0.007738694,64
0.007738694,16
0.007738694,54
0.007738694,31
0.007738694,-56
0.007738694,32
0.007738694,33
0.007738694,75
0.007738694,8
0.007738694,54
0.007738694,6
0.007738694,61
0.007738694,7
0.007738694,37
0.007738694,22
0.007738694,62
0.007738694,44
0.007738694,23
0.007738694,12
0.007738694,52
0.007738694,59
0.007738694,12
0.007738694,23
0.007738694,25
0.007738694,-11
0.007738694,-1
0.007738694,55
0.007738694,-36
0.007738694,-12
0.007738694,39
0.007738694,65
0.007738694,47
0.007738694,-38
0.007738694,110
0.008190955,49
0.008190955,43
0.008190955,91
0.008190955,56
0.008190955,-11
0.008190955,92
0.008190955,-52
0.008190955,41
0.008190955,24
0.008190955,13
0.008190955,8
0.008190955,145
0.008190955,26
0.008190955,40
0.008190955,21
0.008190955,-53
0.008190955,-42
0.008190955,60
0.008190955,28
0.008190955,-54
0.008190955,34
0.008190955,8
0.008190955,6
0.008190955,36
0.008190955,54
0.008190955,69
0.008190955,28
0.008190955,11
0.008190955,86
0.008190955,33
0.008190955,34
0.008190955,62
0.008190955,30
0.008190955,56
0.008190955,-37
0.008190955,39
0.008190955,9
0.008190955,130
0.008190955,21
0.008190955,67
0.008190955,76
0.008190955,16
0.008190955,58
0.008190955,69
0.008190955,48
0.008190955,16
0.008190955,39
0.008190955,48
0.008190955,99
0.008190955,84
0.008190955,46
0.008190955,104
0.008190955,21
0.008190955,-9
0.008190955,37
0.008190955,-3
0.008190955,3
0.008190955,51
0.008190955,32
0.008190955,32
0.008190955,38
0.008190955,115
0.008190955,82
0.008190955,50
0.008190955,57
0.008190955,5
0.008190955,12
0.008190955,-14
0.008190955,52
0.008190955,74
0.008190955,35
0.008190955,51
0.008190955,22
0.008190955,101
0.008190955,62
0.008190955,12
0.008190955,107
0.008190955,44
0.008190955,-3
0.008190955,100
0.008190955,-1
0.008190955,26
0.008190955,-50
0.008190955,64
0.008190955,70
0.008190955,53
0.008190955,47
0.008190955,37
0.008190955,5
0.008190955,61
0.008190955,50
0.008190955,54
0.008190955,31
0.008190955,37
0.008190955,15
0.008190955,71
0.008190955,28
0.008190955,1
0.008190955,82
0.008190955,23
0.008643216,69
0.008643216,67
0.008643216,9
0.008643216,157
0.008643216,-12
0.008643216,46
0.008643216,59
0.008643216,-14
0.008643216,25
0.008643216,40
0.008643216,-53
0.008643216,-26
0.008643216,-6
0.008643216,2
0.008643216,100
0.008643216,26
0.008643216,46
0.008643216,60
0.008643216,54
0.008643216,15
0.008643216,40
0.008643216,-37
0.008643216,28
0.008643216,-4
0.008643216,50
0.008643216,85
0.008643216,52
0.008643216,52
0.008643216,58
0.008643216,69
0.008643216,19
0.008643216,40
0.008643216,-5
0.008643216,31
0.008643216,26
0.008643216,8
0.008643216,83
0.008643216,38
0.008643216,9
0.008643216,76
0.008643216,92
0.008643216,-63
0.008643216,33
0.008643216,99
0.008643216,-41
0.008643216,-59
0.008643216,63
0.008643216,50
0.008643216,29
0.008643216,-40
0.008643216,29
0.008643216,27
0.008643216,71
0.008643216,29
0.008643216,68
0.008643216,92
0.008643216,45
0.008643216,27
0.008643216,-2
0.008643216,42
0.008643216,-2
0.008643216,49
0.008643216,80
0.008643216,81
0.008643216,44
0.008643216,98
0.008643216,54
0.008643216,103
0.008643216,33
0.008643216,23
0.008643216,-69
0.008643216,72
0.008643216,21
0.008643216,73
0.008643216,50
0.008643216,18
0.008643216,59
0.008643216,9
0.008643216,56
0.008643216,94
0.008643216,79
0.008643216,54
0.008643216,143
0.008643216,-43
0.008643216,102
0.008643216,19
0.008643216,48
0.008643216,79
0.008643216,55
0.008643216,63
0.008643216,48
0.008643216,83
0.008643216,42
0.008643216,67
0.008643216,92
0.008643216,55
0.008643216,13
